Report,District Name,RCDTS,Participating?,NCESID,ROE,Type,School Name,City,County,District Type,District Size,School Type_x,Grades Served,Avg Class Size - All Grades,Summative Designation,# Student Enrollment,% Student Enrollment - White,% Student Enrollment - Black or African American,% Student Enrollment - Hispanic or Latino,% Student Enrollment - Asian,% Student Enrollment - Native Hawaiian or Other Pacific Islander,% Student Enrollment - American Indian or Alaska Native,% Student Enrollment - Two or More Races,% Student Enrollment - Children with Disabilities,% Student Enrollment - IEP,% Student Enrollment - EL,% Student Enrollment - Low Income,% Student Enrollment - Homeless,% 8th Grade Passing Algebra 1,Student Attendance Rate,Student Mobility Rate,Chronically Truant Students,Student Chronic Truancy Rate,High School Dropout Rate - Total,High School 4-Year Graduation Rate - Total,Avg Class Size - All Grades.1,Avg Number of Days of Physical Education per Week Per Student,Total Teacher Headcount,Total Teacher FTE,Avg Teaching Exp,% Novice Teachers,Teacher Retention Rate,Teacher Attendace Rate,Teacher Evaluation Rate,Principal Turnover within 6 Years,Teacher Avg Salary,Admin Avg Salary,Five Essential Survey Effective Leaders,Five Essential Survey Leaders Level,Five Essential Survey Collaborative Teachers,Five Essential Survey Collaborative Teachers Level,Five Essential Survey Involved Families,Five Essential Survey Involved Families Level,Five Essential Survey Supportive Environment,Five Essential Survey Supportive Environment Level,Five Essential Survey Ambitious Instruction,Five Essential Survey Ambitious Instruction Level,Climate Survey Student Response Rate,Climate Survey Teacher Response Rate,# ELA Proficiency,# ELA Student Participation,# Math Proficiency,# Math Participation Total Student,ELA Growth Percentile - Total,Math Growth Percentile,# Science Proficiency,# Science Student Participation,% Science Proficiency,# 9th Grade on Track,% 9th Grade on Track,Chronic Absenteeism,# Students with Discipline Incidents,# Discipline Incidents,# Discipline Incidents - Expulsion: Received Educational Srvcs,# Discipline Incidents - Expulsion: Did not Receive Educational Srvcs,# Discipline Incidents - In-school Suspension,# Discipline Incidents - Out-of-School Suspension,# Discipline Incidents - Removal,School EntityID,School Type_y,#Dist Entity ID,ISBE Region,ROE Area,CohortYear,Tier,ROE Name,school_id,student_response_rate,teacher_response_rate,student_n,teacher_n,cdis1,colb,colr,inf3,innv,ins3,pgmc,pnfl,prt4,prti,qpd2,refd,scmt,sdis,socz,trpa,trpr,trte,tsaf,uexp,acno,clar,engg,engl,futr,humr,math,peer,perc,pres,prs2,rigr,safe1,scie,slap,stdy,trts,leaders,teachers,families,environment,instruction,5essentials_overall_score,net5e
Arcola High School- Arcola CUSD 306,Arcola CUSD 306,1.10E+14,,1.70E+11,11,School,Arcola High School,Arcola,Douglas,UNIT,MEDIUM,HIGH SCHOOL,7 - 12,,Commendable,280,50.7,,46.4,,,,,15,7.9,10.4,53.9,4.3,28.2,92.1,8.2,31,10.7,,95.3,14,5,,,,,94.1,,,2,,,44,3,40,3,57,3,53,3,45,3,92.4,96.7,26,125,13,125,46,43.1,40,74,54.1,43,95.6,22.9,16,22,,,7,15,,,,,,,,,,1526,92.4,96.7,263,30,69,22,41,39,18,36,60,53,53,67,53,26,45,53,97,64,40,38,61,46,69,62,65,43,13,76,38,52,71,47,52,47,41,59,54,41,69,44,40,57,53,45,3,0
Arcola Elementary School- Arcola CUSD 306,Arcola CUSD 306,1.10E+14,,1.70E+11,11,School,Arcola Elementary School,Arcola,Douglas,UNIT,MEDIUM,ELEMENTARY,PK - 6,,Commendable,404,51.7,,43.3,,,,,22.3,19.1,23,49.5,,,94,5,22,7.2,,,17.8,2.3,,,,,87.9,,,1,,,31,2,26,2,41,3,53,3,33,2,97.9,86.5,30,191,31,191,37.9,49.5,28,55,50.9,,,15.2,13,25,,,18,7,Not Provided,,,,,,,,,1525,97.9,86.5,143,52,48,13,25,31,18,14,51,37,46,35,33,23,38,15,87,39,28,23,40,,63,31,41,47,,67,41,32,59,27,26,35,39,16,,45,50,31,26,41,53,33,1,-3
Shiloh High School- Shiloh CUSD 1,Shiloh CUSD 1,1.10E+14,,1.70E+11,11,School,Shiloh High School,Hume,Edgar,UNIT,SMALL,HIGH SCHOOL,9 - 12,,Commendable,182,91.2,,,,,,6,13.7,13.7,,46.7,,50,93,8.1,17,8.3,,89.2,10.7,5,,,,,86.5,,,2,,,48,3,36,2,39,2,32,2,49,3,93.1,68,13,99,5,99,38.1,41.3,25,51,49,24,92.3,23.8,39,81,,,57,24,,,,,,,,,,4319,93.1,68,188,25,78,5,37,29,31,42,56,39,37,58,40,9,54,37,15,40,65,46,42,15,51,51,86,50,1,68,48,20,60,59,8,42,33,54,29,56,50,48,36,39,32,49,1,-3
Shiloh Elementary School- Shiloh CUSD 1,Shiloh CUSD 1,1.10E+14,,1.70E+11,11,School,Shiloh Elementary School,Hume,Edgar,UNIT,SMALL,ELEMENTARY,PK - 8,,Commendable,172,95.3,,,,,,,17.4,17.4,,52.9,,,93.6,7.1,,,,,17.3,3.7,,,,,81.1,,,2,,,62,4,41,3,53,3,54,3,41,3,95.9,69.6,13,66,8,66,53.5,52.4,13,26,50,,,18.6,4,6,,,6,,,,,,,,,,,4318,95.9,69.6,49,23,38,35,23,47,32,68,68,63,55,40,54,56,46,74,20,41,63,49,4,,66,,37,45,,,10,,37,34,,29,53,,,58,58,62,41,53,54,41,4,1
Kansas High School- Kansas CUSD 3,Kansas CUSD 3,1.10E+14,,1.72E+11,11,School,Kansas High School,Kansas,Edgar,UNIT,SMALL,HIGH SCHOOL,7 - 12,,Targeted,77,93.5,,,,,,,16.9,16.9,,55.8,,0,91.8,,,,,80,10.2,5,,,,,80.8,,,2,,,53,3,32,2,55,3,33,2,38,2,90.9,72.7,9,44,7,44,17.4,31.1,13,33,39.4,10,90.9,27.4,9,11,,,5,6,,,,,,,,,,3031,90.9,72.7,77,11,63,6,29,38,1,41,75,62,50,54,56,1,56,35,74,54,59,11,81,15,48,44,49,31,1,58,39,44,94,46,59,39,41,46,29,78,47,53,32,55,33,38,1,-3
Kansas Elementary School- Kansas CUSD 3,Kansas CUSD 3,1.10E+14,,1.72E+11,11,School,Kansas Elementary School,Kansas,Edgar,UNIT,SMALL,ELEMENTARY,PK - 6,,Commendable,96,92.7,,,,,,,15.6,15.6,,56.3,,,95,11.2,,,,,13.1,1.8,,,,,90.5,,,2,,,41,3,30,2,60,4,60,4,64,4,97.3,91.7,18,49,5,49,50.1,41.7,6,10,60,,,13.3,2,3,,,1,2,,,,,,,,,,3030,97.3,91.7,37,12,69,11,25,39,1,44,39,49,68,66,46,1,42,82,77,64,41,26,62,,99,91,83,58,,76,66,63,73,50,91,66,26,59,,54,42,41,30,60,60,64,4,2
Crestwood Jr High School- Paris CUSD 4,Paris CUSD 4,1.10E+14,,1.73E+11,11,School,Crestwood Jr High School,Paris,Edgar,UNIT,SMALL,MIDDLE SCHL,6 - 8,,Commendable,126,96.8,,,,,,,11.9,9.5,,19.8,,45.8,93.9,,,,,,19.5,5,,,,,100,,,3,,,71,4,63,4,69,4,39,2,67,4,99.9,99.9,72,127,49,127,53.9,53.5,34,48,70.8,,,21.2,2,4,,,4,,,,,,,,,,,3746,99.9,99.9,115,14,83,34,56,72,61,68,82,93,50,56,94,45,62,86,99,65,60,70,52,,29,60,40,53,,57,61,20,56,68,25,32,41,56,,28,28,71,63,69,39,67,5,3
Crestwood Elementary School- Paris CUSD 4,Paris CUSD 4,1.10E+14,,1.73E+11,11,School,Crestwood Elementary School,Paris,Edgar,UNIT,SMALL,ELEMENTARY,PK - 5,,Exemplary,307,96.4,,,,,,,18.2,16.9,,24.1,5.9,,94.8,4.2,,,,,19.8,5,,,,,92.6,,,3,,,60,4,52,3,62,4,58,3,53,3,99.9,99.9,50,125,44,125,57.6,57.5,30,49,61.2,,,10.2,,,,,,,,,,,,,,,,3745,99.9,99.9,76,29,69,38,45,59,36,54,79,67,64,92,91,66,47,48,97,55,47,40,31,,97,,51,71,,,46,,38,46,,36,50,,,72,45,60,52,62,58,53,4,2
Chrisman High School- Edgar County CUD 6,Edgar County CUD 6,1.10E+14,,1.71E+11,11,School,Chrisman High School,Chrisman,Edgar,UNIT,SMALL,HIGH SCHOOL,9 - 12,,Commendable,97,96.9,,,,,,,19.6,14.4,,46.4,,,93.3,,,,,96.2,9.1,5,,,,,80,,,2,,,,0,,0,,0,59,3,46,3,88.2,33.3,2,23,1,23,,,15,21,71.4,20,90.9,24.8,8,10,,,8,2,,,,,,,,,,2428,88.2,33.3,93,15,,,,,,,,,,,,,,,,,,,,,73,87,79,43,1,84,27,55,82,69,35,54,57,52,47,42,72,,,,59,46,3,0
Chrisman-Scottland Jr High School- Edgar County CUD 6,Edgar County CUD 6,1.10E+14,,1.71E+11,11,School,Chrisman-Scottland Jr High School,Chrisman,Edgar,UNIT,SMALL,MIDDLE SCHL,6 - 8,,Targeted,68,92.6,,,,,,,25,23.5,,44.1,,6.3,93.6,,,,,,13.9,5,,,,,88.9,,,2,,,,0,,0,,0,26,2,35,2,95.3,62.5,13,72,5,72,34.2,40.6,5,16,31.3,,,23,13,18,,,10,8,,,,,,,,,,2429,95.3,62.5,64,8,,,,,,,,,,,,,,,,,,,,,16,21,72,4,,53,59,1,44,42,31,1,28,28,,16,15,,,,26,35,2,-2
Chrisman Elementary School- Edgar County CUD 6,Edgar County CUD 6,1.10E+14,1.10E+14,1.71E+11,11,School,Chrisman Elementary School,Chrisman,Edgar,UNIT,SMALL,ELEMENTARY,PK - 5,,Comprehensive,129,94.6,,,,,,,33.3,33.3,,34.1,,,92,10.4,10,11.1,,,19.2,5,,,,,88,,,1,,,66,4,35,2,44,3,57,3,44,3,80.6,81,10,50,8,50,31.4,21.3,8,15,53.3,,,27.7,,,,,,,,6276,Elementary,6273,11,4,2023,CSI/NA,East Central,2427,80.6,81,36,21,62,1,43,58,29,55,95,48,47,59,41,6,39,43,69,38,57,52,32,,60,,51,42,,,38,,50,51,,53,50,,,77,68,66,35,44,57,44,3,0
Mayo Middle School- Paris-Union SD 95,Paris-Union SD 95,1.10E+14,,1.73E+11,11,School,Mayo Middle School,Paris,Edgar,UNIT,MEDIUM,MIDDLE SCHL,6 - 8,,Commendable,247,92.3,,4.9,,,,,18.6,18.6,,53,4.9,90.2,91.6,12.4,,,,,14.7,5,,,,,94.1,,,2,,,38,2,34,2,34,2,38,2,71,4,86.5,70,136,245,92,245,56.5,54.5,61,85,71.8,,,31.9,28,61,,,55,6,,,,,,,,,,3750,86.5,70,251,30,84,6,27,63,4,8,62,55,21,56,56,8,42,64,92,27,20,37,50,,42,35,59,48,,39,95,17,43,75,17,24,20,45,,36,46,38,34,34,38,71,1,-3
Memorial Elementary School- Paris-Union SD 95,Paris-Union SD 95,1.10E+14,,1.73E+11,11,School,Memorial Elementary School,Paris,Edgar,UNIT,MEDIUM,ELEMENTARY,PK - 2,,Commendable,288,92.4,,3.5,,,,,29.5,29.5,,86.8,12.2,,93.8,11.3,,,,,17.8,3,,,,,94.4,,,2,,,68,4,61,4,78,4,,0,,0,0,97.4,,,,,,,,,,,,19.7,,,,,,,,,,,,,,,,3751,0,97.4,1,39,61,50,45,68,45,76,71,96,78,69,95,52,69,64,99,59,56,48,38,,,,,,,,,,,,,,,,,,,68,61,78,,,5,3
Carolyn Wenz Elementary School- Paris-Union SD 95,Paris-Union SD 95,1.10E+14,,1.73E+11,11,School,Carolyn Wenz Elementary School,Paris,Edgar,UNIT,MEDIUM,ELEMENTARY,3 - 5,,Commendable,242,92.1,,4.1,,,,,24,22.7,,63.6,12,,94.2,9.7,,,,,17.1,3,,,,,90.2,,,2,,,71,4,68,4,65,4,84,5,67,4,93.3,95.8,82,247,64,246,50.4,54.1,51,77,66.2,,,18.5,2,2,,,,2,,,,,,,,,,3748,93.3,95.8,165,24,76,32,63,67,66,84,58,71,65,60,91,61,80,50,99,59,76,72,42,,99,,76,79,,,66,,88,73,,81,67,,,98,82,71,68,65,84,67,5,5
Creative Center for Children- Paris-Union SD 95,Paris-Union SD 95,1.10E+14,,1.73E+11,11,School,Creative Center for Children,Paris,Edgar,UNIT,MEDIUM,PreK,PK,,,82,96.3,,,,,,,25.6,25.6,,96.3,12.2,,,,,,,,,5,,,,,80,,,1,,,,0,,0,,0,,0,,0,0,85.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,3749,0,85.7,0,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Paris Cooperative High School- Paris Cooperative High School,Paris Cooperative High School,1.10E+14,,1.70E+11,11,School,Paris Cooperative High School,Paris,Edgar,HIGH SCHOOL,SMALL,HIGH SCHOOL,9 - 12,,Commendable,544,97.6,,,,,,,10.7,10.7,,60.1,6.8,,89.9,13,57,9.9,5.5,87.3,15,4.1,,,,,,,,2,,,49,3,55,3,56,3,56,3,60,4,90.3,97.5,20,106,19,106,,,49,98,50,123,80.9,28.9,75,127,,,83,44,,,,,,,,,,3747,90.3,97.5,516,40,74,24,57,41,42,46,56,61,56,68,64,20,65,52,99,50,53,64,61,39,61,73,85,61,39,54,52,31,87,74,51,49,40,53,59,39,84,49,55,56,56,60,4,1
Sullivan High School- Sullivan CUSD 300,Sullivan CUSD 300,1.11E+14,,1.74E+11,11,School,Sullivan High School,Sullivan,Moultrie,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,,Commendable,340,92.1,,,,,,3.8,12.4,9.1,,53.8,,,94.1,11.2,27,7.4,,87,18.2,5,,,,,86.7,,,2,,,49,3,50,3,57,3,42,3,25,2,75.8,74.3,28,77,13,77,,,56,75,74.7,74,84.1,16.7,62,143,,,117,18,8,,,,,,,,,4468,75.8,74.3,343,35,66,30,43,36,25,37,66,54,60,68,57,37,59,30,99,57,55,60,56,48,53,36,34,9,1,68,19,21,23,41,40,20,36,45,31,46,52,49,50,57,42,25,2,-1
Sullivan Middle School- Sullivan CUSD 300,Sullivan CUSD 300,1.11E+14,,1.74E+11,11,School,Sullivan Middle School,Sullivan,Moultrie,UNIT,MEDIUM,MIDDLE SCHL,5 - 8,,Commendable,331,93.7,,,,,,,13.6,11.2,,53.8,,21.9,95.4,4.1,,,,,20,5,,,,,92,,,1,,,46,3,27,2,31,2,45,3,71,4,88,60.9,117,337,71,337,46,47.5,82,172,47.7,,,10.4,48,95,,,86,9,,,,,,,,,,4469,88,60.9,332,23,81,12,26,53,16,35,54,34,24,39,23,1,22,56,99,35,41,52,43,,56,27,70,66,,57,95,1,62,67,18,34,16,40,,40,46,46,27,31,45,71,2,-1
Sullivan Elementary School- Sullivan CUSD 300,Sullivan CUSD 300,1.11E+14,,1.74E+11,11,School,Sullivan Elementary School,Sullivan,Moultrie,UNIT,MEDIUM,ELEMENTARY,PK - 4,,Commendable,483,93.2,,2.5,,,,2.5,17,15.5,,56.7,,,94.6,5.3,11,3.2,,,20,5,,,,,90,,,3,,,61,4,48,3,61,4,76,4,57,3,90.2,52.6,58,159,43,159,43.9,57.3,,,,,,10.5,6,14,,,7,6,1,,,,,,,,,4467,90.2,52.6,92,38,73,49,31,52,22,60,59,54,63,47,53,27,64,59,99,65,72,44,57,,99,,99,61,,,53,,62,56,,48,64,,,94,77,61,48,61,76,57,5,3
Okaw Valley High School- Okaw Valley CUSD 302,Okaw Valley CUSD 302,1.11E+14,,1.70E+11,11,School,Okaw Valley High School,Bethany,Moultrie,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,,Commendable,166,98.8,,,,,,,6.6,,,41,6.6,,93.3,,,,,97.4,11.1,3.3,,,,,97.6,,,1,,,71,4,66,4,66,4,64,4,57,3,96.3,82.3,7,47,5,47,,,23,45,51.1,35,94.6,19.9,2,2,,,,2,,,,,,,,,,3650,96.3,82.3,163,17,82,19,79,35,35,63,98,52,78,89,79,11,91,50,99,68,86,63,84,39,70,55,75,63,19,80,55,74,68,59,38,43,56,69,62,63,99,71,66,66,64,57,5,4
Okaw Valley Middle School- Okaw Valley CUSD 302,Okaw Valley CUSD 302,1.11E+14,,1.70E+11,11,School,Okaw Valley Middle School,Findlay,Moultrie,UNIT,MEDIUM,MIDDLE SCHL,5 - 8,,Commendable,111,94.6,,,,,,,9,,,39.6,,100,94,8.6,,,,,14,5,,,,,77.8,,,1,,,85,5,73,4,58,3,84,5,76,4,99.9,92.9,53,113,16,113,64.3,44.7,29,58,50,,,15,4,6,,,3,3,,,,,,,,,,3651,99.9,92.9,106,14,78,33,82,77,52,94,93,67,42,63,99,46,76,53,99,64,76,74,71,,89,55,56,91,,77,73,51,99,85,48,62,56,68,,58,90,85,73,58,84,76,5,4
Okaw Valley Elementary School- Okaw Valley CUSD 302,Okaw Valley CUSD 302,1.11E+14,,1.70E+11,11,School,Okaw Valley Elementary School,Bethany,Moultrie,UNIT,MEDIUM,ELEMENTARY,PK - 4,,Commendable,172,97.7,,,,,,,16.9,15.7,,54.7,,,92.9,10.1,,,,,15.5,5,,,,,94.7,,,2,,,60,4,41,3,49,3,62,4,47,3,99.9,90,13,64,12,64,51.8,70.7,,,,,,21.4,6,10,,,,10,,,,,,,,,,3649,99.9,90,30,20,73,1,32,43,17,41,73,49,69,55,64,1,60,29,99,30,82,46,26,,99,,66,58,,,51,,48,48,,29,46,,,99,56,60,41,49,62,47,4,2
Windsor Jr & Sr High School- Windsor CUSD 1,Windsor CUSD 1,1.11E+14,,1.74E+11,11,School,Windsor Jr & Sr High School,Windsor,Shelby,UNIT,SMALL,HIGH SCHOOL,7 - 12,,Commendable,131,93.1,,,,,,,15.3,9.2,,23.7,,84.6,93.2,,12,8.6,,88.2,11.4,2.9,,,,,80.6,,,3,,,42,3,21,2,30,2,37,2,44,3,99.9,99.9,15,68,8,68,42.7,48.2,23,47,48.9,28,93.3,20.4,11,16,,,3,13,,,,,,,,,,4781,99.9,99.9,124,18,51,20,18,32,8,29,60,43,25,58,45,1,9,28,54,21,47,13,55,30,14,44,48,39,1,53,63,27,39,47,31,29,37,33,38,41,43,42,21,30,37,44,1,-3
Windsor Elementary School- Windsor CUSD 1,Windsor CUSD 1,1.11E+14,,1.74E+11,11,School,Windsor Elementary School,Windsor,Shelby,UNIT,SMALL,ELEMENTARY,PK - 6,,Commendable,205,94.1,,,,,,,18.5,18.5,,35.6,,,95.3,7.5,,,,,14.6,5,,,,,75.8,,,4,,,22,2,33,2,40,3,63,4,47,3,99.9,84.2,25,94,26,94,41,37.7,9,16,56.3,,,9.3,11,14,,,4,10,,,,,,,,,,4780,99.9,84.2,68,19,54,18,39,31,42,6,23,12,66,76,21,19,37,27,70,41,27,50,38,,79,63,90,43,,73,48,60,84,68,67,58,28,8,,72,62,22,33,40,63,47,2,-1
Cowden-Herrick Jr/Sr High School- Cowden-Herrick CUSD 3A,Cowden-Herrick CUSD 3A,11087003A260001,,1.70E+11,11,School,Cowden-Herrick Jr/Sr High School,Cowden,Shelby,UNIT,SMALL,HIGH SCHOOL,PK - 12,,Commendable,159,96.9,,,,,,,9.4,9.4,,67.3,,0,92.7,,,,,91.7,11.8,5,,,,,87.8,,,2,,,59,3,53,3,49,3,53,3,55,3,96.8,95.2,53,93,20,93,73,51.6,24,49,51.1,14,73.7,27.3,22,34,,,8,25,1,,,,,,,,,2138,96.8,95.2,157,21,78,17,56,42,39,39,83,54,43,73,70,28,71,57,76,49,73,49,73,20,68,73,63,44,2,69,65,57,75,55,57,45,52,58,41,50,99,59,53,49,53,55,3,0
Cowden-Herrick Grade School- Cowden-Herrick CUSD 3A,Cowden-Herrick CUSD 3A,11087003A262001,,1.70E+11,11,School,Cowden-Herrick Grade School,Herrick,Shelby,UNIT,SMALL,ELEMENTARY,K - 5,,Commendable,154,96.8,,,,,,,18.2,17.5,,57.1,,,94.5,9.9,,,,,,5,,,,,97.1,,,1,,,50,3,34,2,38,2,76,4,72,4,99.9,93.8,45,70,32,70,71,32.5,17,22,77.3,,,18.5,7,8,,,1,7,,,,,,,,,,2139,99.9,93.8,42,16,59,6,36,56,26,34,71,35,56,21,48,56,47,31,59,24,40,35,38,,87,,95,86,,,74,,75,96,,84,60,,,74,82,50,34,38,76,72,3,0
Shelbyville High School- Shelbyville CUSD 4,Shelbyville CUSD 4,1.11E+14,,1.74E+11,11,School,Shelbyville High School,Shelbyville,Shelby,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,,Exemplary,337,96.4,,,,,,,17.8,14.5,,38.9,,,93.4,7.6,28,7.7,,100,13,5,,,,,92.4,,,2,,,52,3,62,4,61,4,56,3,56,3,94.1,87.1,28,92,30,92,,,56,79,70.9,76,97.4,18.6,24,33,,,1,32,,,,,,,,,,4310,94.1,87.1,271,31,84,35,66,39,54,41,68,61,56,73,66,26,65,81,99,66,60,77,64,45,67,63,66,56,14,85,28,68,70,59,47,42,50,67,51,71,79,52,62,61,56,56,4,2
Moulton Elementary School- Shelbyville CUSD 4,Shelbyville CUSD 4,1.11E+14,,1.74E+11,11,School,Moulton Elementary School,Shelbyville,Shelby,UNIT,MEDIUM,ELEMENTARY,4 - 8,,Commendable,426,93,,2.6,,,,,12.7,12.4,,43.4,,27.3,94.5,5.7,46,10.4,,,16.4,4,,,,,92.3,,,1,,,78,4,74,4,63,4,85,5,90,5,94.9,97.5,234,426,103,424,48,41.7,87,161,54,,,15.2,32,61,,1,19,38,3,,,,,,,,,4309,94.9,97.5,428,40,86,51,87,68,52,88,90,67,57,86,87,51,71,95,99,64,64,75,62,,85,85,99,84,,94,83,47,99,99,41,61,65,51,,73,92,78,74,63,85,90,5,5
Main Street Elementary School- Shelbyville CUSD 4,Shelbyville CUSD 4,1.11E+14,,1.74E+11,11,School,Main Street Elementary School,Shelbyville,Shelby,UNIT,MEDIUM,ELEMENTARY,PK - 3,,Commendable,378,94.4,,,,,,,9.8,9.8,,46,2.6,,94.6,4.3,13,4.3,,,21,2.9,,,,,95.6,,,2,,,65,4,54,3,59,3,,0,,0,0,84.1,49,110,63,110,,,,,,,,11.5,11,13,,,9,4,,,,,,,,,,4308,0,84.1,0,44,79,31,64,51,62,73,78,45,65,87,68,45,65,77,99,68,58,43,45,,,,,,,,,,,,,,,,,,,65,54,59,,,4,1
Shelbyville Kindergarten Center- Shelbyville CUSD 4,Shelbyville CUSD 4,1.11E+14,,1.74E+11,11,School,Shelbyville Kindergarten Center,Shelbyville,Shelby,UNIT,MEDIUM,ELEMENTARY,K,,,86,95.3,,,,,,,,,,46.5,,,92.9,,,,,,17.6,2,,,,,93.8,,,1,,,57,3,64,4,70,4,,0,,0,0,99.9,,,,,,,,,,,,18.9,2,4,,,4,,,,,,,,,,,4311,0,99.9,0,9,56,66,65,52,69,51,66,47,79,58,73,90,59,89,87,84,59,55,56,,,,,,,,,,,,,,,,,,,57,64,70,,,4,2
Stewardson-Strasburg High School- Stewardson-Strasburg CUD 5A,Stewardson-Strasburg CUD 5A,11087005A260001,,1.74E+11,11,School,Stewardson-Strasburg High School,Strasburg,Shelby,UNIT,SMALL,HIGH SCHOOL,9 - 12,,Commendable,122,98.4,,,,,,,15.6,11.5,,30.3,,,95.1,,,,,92.3,15,4.9,,,,,89.5,,,2,,,69,4,80,5,89,5,39,2,31,2,94.3,99.9,12,31,9,31,,,27,30,90,38,100,10,4,7,,,,7,,,,,,,,,,4457,94.3,99.9,122,11,78,25,99,40,76,75,93,86,81,90,99,53,78,77,99,99,69,99,81,49,48,25,23,12,1,68,18,44,13,16,37,1,34,40,24,36,47,69,80,89,39,31,4,1
Stewardson-Strasburg Elementary School- Stewardson-Strasburg CUD 5A,Stewardson-Strasburg CUD 5A,11087005A262003,,1.74E+11,11,School,Stewardson-Strasburg Elementary School,Strasburg,Shelby,UNIT,SMALL,ELEMENTARY,PK - 8,,Commendable,270,95.6,,,,,,,17,16.7,,43,,36.4,96,6.5,,,,,15.3,3.3,,,,,95.6,,,1,,,48,3,40,3,56,3,66,4,45,3,93.5,86.4,49,165,44,165,41.8,51,30,55,54.5,,,6.2,4,6,,,,6,,,,,,,,,,4456,93.5,86.4,139,22,87,18,47,37,26,30,60,40,68,75,40,38,58,33,89,59,66,38,51,,66,33,45,44,,86,50,61,59,52,44,32,74,28,,72,64,48,40,56,66,45,4,1
Central A & M High School- Central A & M CUD 21,Central A & M CUD 21,1.11E+14,,1.71E+11,11,School,Central A & M High School,Moweaqua,Shelby,UNIT,MEDIUM,HIGH SCHOOL,9 - 12,,Commendable,218,95.9,,,,,,,13.8,13.8,,41.7,,,91.5,8.9,21,9,,79.4,11.7,5,,,,,93.8,,,1,,,49,3,36,2,60,4,49,3,41,3,95.4,77.3,13,60,3,60,,,23,58,39.7,47,92.2,26.1,1,1,,,Not Provided,1,,,,,,,,,,1925,95.4,77.3,219,22,71,20,30,38,2,41,67,67,57,67,40,41,51,51,59,55,48,37,66,42,54,41,53,31,1,86,39,60,38,42,44,34,45,33,36,46,74,49,36,60,49,41,3,0
Central A & M Middle School- Central A & M CUD 21,Central A & M CUD 21,1.11E+14,,1.71E+11,11,School,Central A & M Middle School,Assumption,Shelby,UNIT,MEDIUM,MIDDLE SCHL,6 - 8,,Commendable,161,95,,,,,,,12.4,11.8,,42.2,,29.1,93.7,,,,,,18.1,5,,,,,93.5,,,2,,,,0,,0,,0,45,3,49,3,91.9,47.1,51,161,16,161,45.2,33.8,35,56,62.5,,,17.6,10,18,1,,16,1,,,,,,,,,,1926,91.9,47.1,160,17,,,,,,,,,,,,,,,,,,,,,34,50,62,43,,81,58,33,70,46,41,12,31,35,,48,44,,,,45,49,3,0
Gregory Intermediate- Central A & M CUD 21,Central A & M CUD 21,1.11E+14,,1.71E+11,11,School,Gregory Intermediate,Moweaqua,Shelby,UNIT,MEDIUM,ELEMENTARY,2 - 5,,Targeted,190,96.3,,,,,,,22.1,22.1,,41.1,,,94.3,,,,,,18.7,2.5,,,,,89.7,,,3,,,24,2,8,1,28,2,57,3,48,3,69.7,72.7,40,145,41,145,47.3,49,25,49,51,,,14.3,5,7,,,2,5,,,,,,,,,,1927,69.7,72.7,109,22,72,1,1,37,1,1,28,3,55,54,5,1,30,68,30,26,28,4,34,,77,,57,37,,,42,,53,44,,41,47,,,84,51,24,8,28,57,48,1,-3
Bond Primary- Central A & M CUD 21,Central A & M CUD 21,1.11E+14,,1.71E+11,11,School,Bond Primary,Assumption,Shelby,UNIT,MEDIUM,ELEMENTARY,PK - 1,,Commendable,148,94.6,,,,,,,20.3,20.3,,52,,,93,8.8,,,,,19.6,2.5,,,,,85.7,,,2,,,,0,,0,,0,,0,,0,0,40,,,,,,,,,,,,21.1,2,6,,,,6,,,,,,,,,,1924,0,40,0,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,
Clay City High School- Clay City CUSD 10,Clay City CUSD 10,1.20E+14,,1.71E+11,12,School,Clay City High School,Clay City,Clay,UNIT,SMALL,HIGH SCHOOL,9 - 12,,,83,97.6,,,,,,,19.3,18.1,,47,18.1,,91.8,17.1,12,15.2,,66.7,12.5,5,,,,,25,,,2,,,,0,,0,,0,6,1,21,2,58.8,57.1,3,19,3,19,,,9,19,47.4,13,76.5,32.1,14,21,2,,14,5,,,,,,,,,,2054,58.8,57.1,85,14,,,,,,,,,,,,,,,,,,,,,14,13,40,1,1,45,16,1,20,46,51,1,17,5,1,41,1,,,,6,21,2,-2
Clay City Jr High School- Clay City CUSD 10,Clay City CUSD 10,1.20E+14,,1.71E+11,12,School,Clay City Jr High School,Clay City,Clay,UNIT,SMALL,MIDDLE SCHL,6 - 8,,Comprehensive,68,98.5,,,,,,,26.5,26.5,,55.9,17.6,0,93.6,13.9,,,,,17.7,5,,,,,50,,,2,,,,0,,0,,0,5,1,26,2,80.9,55.6,5,62,2,62,29.1,32.2,4,15,26.7,,,21.2,14,26,1,,22,3,,,,,,,,,,2055,80.9,55.6,68,9,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,43,77,1,6,1,22,1,10,44,,5,1,,,,5,26,2,-2
