"Indicator","Text","Rating"
"AnalysisInquiry ","Students occasionally engage in higher order thinking through analysis and inquiry, but the episodes are brief or limited in depth. The teacher provides opportunities for students to apply knowledge and skills within familiar contexts and offers guidance to students but does not provide opportunities for analysis and problem solving within novel contexts and/or without teacher support. Students have occasional opportunities to think about their own thinking through explanations, self-evaluations, reflections, and planning; these opportunities, however, are brief and limited in depth.","Middle"
"StudentPerspectiveIntroSec","Classrooms at this school averaged in the low range.","Low"
"BehaviorManagementIntroSec","Classrooms at this school averaged in the middle range.","Middle"
"QualityFeedbackIntroUE","Upper grades classrooms at this school averaged in the low range.","Low"
"PositiveClimate","There are some indications that the teacher and students share a warm and supportive relationship, but some students may be excluded from this relationship, either by the teacher or the other students. Some relationships appear constrained—for example, the teacher expresses a perfunctory interest in students, or encouragement seems to be an automatic statement and is not sincere. Teachers and students sometimes demonstrate respect for one another. ","Middle"
"StudentEngagement","In the high range, most students are actively engaged in the classroom discussions and activities.","High"
"TeacherSensitivityIntroSec","Classrooms at this school averaged in the middle range.","Middle"
"InstructionalFormat","At the middle range, the teacher sometimes facilitates engagement in the lesson, but at other times does not; or the teacher facilitates engagement for some students and not for other students. The teacher may not allow students enough time to explore or answer questions. Sometimes, the teacher uses a variety of modalities to help students reach a learning objective, but at other times the teacher does not. Student engagement is inconsistent, or some students are engaged and other students are not. At times, students are aware of the learning objective, but at other times they are not. The teacher may sometimes use strategies to help students organize information, but at other times does not.","Middle"
"QualityFeedbackIntroSec","Classrooms at this school averaged in the middle range.","Middle"
"InstructionalDialogue","At the low range, there are no or few discussions in the class, the discussions are not related to content or skill development, or the discussions contain only simple question-response exchanges between the teacher and students. The class is dominated by teacher talk, and discussion is limited. The teacher and students ask closed-ended questions; rarely acknowledge, report, or extend other students’ comments; and/or appear disinterested in other students’ comments, resulting in many students not being engaged in instructional dialogues.","Low"
"TeacherSensitivityIntroUE","Upper grades classrooms at this school averaged in the middle range.","Middle"
"NegativeClimateIntroUE","Upper grades classrooms at this school averaged in the high range.","High"
"BehaviorManagement","At the low range, the classroom is chaotic. There are no rules and expectations, or they are not enforced consistently. The teacher does not monitor the classroom effectively and only reacts to student disruption, which is frequent. There are frequent instances of misbehavior in the classroom, and the teacher’s attempts to redirect them are ineffective. The teacher does not use cues, such as eye contact, slight touches, gestures, or physical proximity, to respond to and redirect negative behaviors.","Low"
"AnalysisInquiry ","At the high range, students consistently engage in extended opportunities to use higher order thinking through analysis and inquiry. The teacher provides opportunities for students to independently solve or reason through novel and open-ended tasks that require students to select, utilize, and apply existing knowledge and skills. Students have multiple opportunities to think about their own thinking through explanations, self-evaluations, reflections, and planning.","High"
"PositiveClimate","All indicators are absent or only minimally present. Teachers and students do not appear to share a warm, supportive relationship. Interpersonal connections are not evident or only minimally evident. Affect in the classroom is flat, and there are rarely instances of teachers and students smiling, sharing humor, or laughing together. There are no, or very few, positive communications among the teacher and students; the teacher does not communicate encouragement. There is no evidence that students and the teacher respect one another or that the teacher encourages students to respect one another. ","Low"
"StudentPerspectiveIntroElem","Elementary grades classrooms at this school averaged in the high range.","High"
"BehaviorManagementIntroSec","Classrooms at this school averaged in the low range.","Low"
"InstructionalFormatIntroUE","Upper grades classrooms at this school averaged in the middle range.","Middle"
"StudentPerspective","At the low range, the teacher exhibits an inflexible, rigid adherence to their plan, without considering student ideas or allowing students to make contributions. The teacher inhibits student enthusiasm by imposing guidelines or making remarks that inhibit student expression. The teacher may rigidly adhere to a lesson plan and not respond to student interests. The teacher does not allow students any autonomy on how they conduct an activity, may control materials tightly, and may offer few opportunities for students to help out with classroom responsibilities. There are few opportunities for students to talk and express themselves.","Low"
"Productivity","The classroom runs very smoothly. The teacher provides a steady flow of activities for students, so they do not have downtime and are not confused about what to do next. The routines of the classroom are efficient, and all students know how to move from one activity to another and where materials are. Students understand the teacher’s instructions and directions. Transitions are quick, and there are not too many of them. The teacher is fully prepared for the lesson.","High"
"ProductivityIntroUE","Upper grades classrooms at this school averaged in the high range.","High"
"AnalysisInquiry ","At the low range, students do not engage in higher order thinking skills. Instruction is presented in a rote manner, and there are no opportunities for students to engage in novel or open-ended tasks. Students are not challenged to apply previous knowledge and skills to a new problem, nor are they encouraged to think about, evaluate, or reflect on their own learning. Students do not have opportunities to plan their own learning experiences.","Low"
"QualityFeedbackIntroSec","Classrooms at this school averaged in the low range.","Low"
"InstructionalFormatIntroSec","Classrooms at this school averaged in the high range.","High"
"QualityFeedback","At the low range, the teacher dismisses incorrect responses or misperceptions and rarely scaffolds student learning. The teacher is more interested in students providing the correct answer than in understanding the answer. Feedback is perfunctory. The teacher may not provide opportunities to learn whether students understand or are interested. The teacher rarely questions students or asks them to explain their thinking and reasons for their responses. The teacher does not or rarely provides information that might expand student understanding and rarely offers encouragement that increases student effort and persistence.","Low"
"NegativeClimate","Negativity is pervasive. The teacher may express constant irritation, annoyance, or anger; unduly criticize students; or consistently use a harsh tone and/or take a harsh stance when interacting with students. Threats or yelling are frequently used to establish control. Language is disrespectful and sarcastic. Severe negativity leads to a high rating on negative climate, even if the action is not extended, such as students bullying one another, a teacher hitting a student, or students physically fighting with one another.","High"
"NegativeClimateIntroElem","Elementary grades classrooms at this school averaged in the middle range.","Middle"
"StudentEngagementIntro","Upper grades classrooms at this school averaged in the low range.","Low"
"BehaviorManagementIntroUE","Upper grades classrooms at this school averaged in the high range.","High"
"StudentPerspectiveIntroSec","Classrooms at this school averaged in the high range.","High"
"InstructionalFormatIntroSec","Classrooms at this school averaged in the low range.","Low"
"QualityFeedback","In this range, the teacher frequently provides scaffolds to students who are having difficulty, providing hints or assistance as needed. The teacher engages students in feedback loops to help them understand ideas or reach the right response. The teacher often questions students, encourages them to explain their thinking, and provides additional information that may help students understand. The teacher regularly encourages students’ efforts and persistence.","High"
"InstructionalDialogue","At this range, there are occasional content-based discussions in class among teachers and students; however, these exchanges are brief or quickly move from one topic to another without follow-up questions or comments from the teacher and other students. The class is mostly dominated by teacher talk, although there are times when students take a more active role, or there are distributed dialogues that involve only a few students in the class. The teacher and students sometimes facilitate and encourage more elaborate dialogue, but such efforts are brief, inconsistent, or ineffective at consistently engaging students in extended dialogues.","Middle"
"InstructionalDialogueIntro","Upper grades classrooms at this school averaged in the low range.","Low"
"InstructionalFormatIntroElem","Elementary grades classrooms at this school averaged in the middle range.","Middle"
"ProductivityIntroElem","Elementary grades classrooms at this school averaged in the high range.","High"
"StudentPerspectiveIntroUE","Upper grades classrooms at this school averaged in the high range.","High"
"PositiveClimateIntroSec","Classrooms at this school averaged in the high range.","High"
"InstructionalFormatIntroUE","Upper grades classrooms at this school averaged in the low range.","Low"
"ContentUnderstandingIntro","Upper grades classrooms at this school averaged in the middle range.","Middle"
"LanguageModeling","In this range, the teacher talks with students and shows some interest in students, but the conversations are limited and not prolonged. Usually, the teacher directs the conversations, although the conversations may focus on topics of interest to students. More often, there is a basic exchange of information but limited conversation. The teacher asks a mix of closed- and open-ended questions, although the open-ended questions may require only short responses. Sometimes, the teacher extends students’ responses or repeats what students say. Sometimes, the teacher maps his or her own actions and the students’ actions through language and description. The teacher sometimes uses advanced language with students.","Middle"
"NegativeClimate","There is no display of negativity. No strong expressions of anger or aggression are exhibited, either by the teacher or students; if there is such a display, it is contained and does not escalate. The teacher does not issue threats or yell to establish control. The teacher and students are respectful and do not express sarcasm.","Low"
"ContentUnderstanding","At the low range, the focus of the class is primarily on presenting discrete pieces of topically related information, absent broad, organizing ideas. The discussion and materials fail to effectively communicate the essential attributes of the concepts and procedures to students. The teacher makes little effort to elicit or acknowledge students’ background knowledge or misconceptions or to integrate previously learned material when presenting new information.","Low"
"QualityFeedbackIntroSec","Classrooms at this school averaged in the high range.","High"
"InstructionalDialogueIntro","Upper grades classrooms at this school averaged in the high range.","High"
"Productivity","At the low level, the teacher provides few activities for students. Much time is spent on managerial tasks (such as distributing papers) and/or on behavior management. Frequently during the observation, students have little to do and spend time waiting. The routines of the classroom are not clear and, as a result, students waste time, are not engaged, and are confused. Transitions take a long time and/or are too frequent. The teacher does not have activities organized and ready and seems to be caught up in last-minute preparations.","Low"
"BehaviorManagementIntroSec","Classrooms at this school averaged in the high range.","High"
"BehaviorManagementIntroElem","Elementary grades classrooms at this school averaged in the low range.","Low"
"NegativeClimate","There are some expressions of mild negativity by the teacher or students. The teacher may express irritability, use a harsh tone, and/or express annoyance—usually during difficult moments in the classroom. Threats or yelling may be used to establish control over the classroom, but not constantly; they are used more as a response to situations. At times, the teacher and students may be sarcastic or disrespectful toward one another.","Middle"
"NegativeClimateIntroElem","Elementary grades classrooms at this school averaged in the low range.","Low"
"TeacherSensitivityIntroElem","Elementary grades classrooms at this school averaged in the low range.","Low"
"QualityFeedbackIntroUE","Upper grades classrooms at this school averaged in the middle range.","Middle"
"BehaviorManagementIntroUE","Upper grades classrooms at this school averaged in the middle range.","Middle"
"ContentUnderstanding","At the middle range, the focus of the class is sometimes on meaningful discussion and explanation of broad, organizing ideas. At other times, the focus is on discrete pieces of information. Class discussion and materials communicate some of the essential attributes of concepts and procedures, but examples are limited in scope or not consistently provided. The teacher makes some attempt to elicit and/or acknowledge students’ background knowledge or misconceptions and/or to integrate information with previously learned material; however, these moments are limited in depth or are inconsistent.","Middle"
"NegativeClimateIntroSec","Classrooms at this school averaged in the middle range.","Middle"
"BehaviorManagementIntroElem","Elementary grades classrooms at this school averaged in the middle range.","Middle"
"TeacherSensitivityIntroElem","Elementary grades classrooms at this school averaged in the middle range.","Middle"
"StudentPerspectiveIntroElem","Elementary grades classrooms at this school averaged in the low range.","Low"
"PositiveClimateIntroElem","Elementary grades classrooms at this school averaged in the low range.","Low"
"QualityFeedbackIntroElem","Elementary grades classrooms at this school averaged in the low range.","Low"
"LanguageModeling","In the low range, there are few conversations in the classroom, particularly between the students and the teacher. The teacher responds to students’ initiating talk with only a few words, limits students’ use of language (in responding to questions), and asks questions that mainly elicit closed-ended responses. The teacher does not or rarely extends students’ responses or repeats them for clarification. The teacher does not engage in self-talk or parallel talk—explaining what he or she or the students are doing. The teacher does not use new words or advanced language with students. The language used has little variety.","Low"
"InstructionalFormatIntroElem","Elementary grades classrooms at this school averaged in the high range.","High"
"BehaviorManagementIntroUE","Upper grades classrooms at this school averaged in the low range.","Low"
"InstructionalFormat","At the low range, the teacher exerts little effort in facilitating engagement in the lesson. Learning activities may be limited and seem to be at the rote level, with little teacher involvement. The teacher relies on one learning modality (e.g., listening) and does not use other modalities (e.g., movement, visual displays) to convey information and enhance learning. Or the teacher may be ineffective in using other modalities, not choosing the right props for the students or the classroom conditions. Students are uninterested and uninvolved in the lesson. The teacher does not attempt to guide students toward learning objectives and does not help them focus on the lesson by providing appropriate tools and asking effective questions.","Low"
