rcdts,school_name,dimension_id,dimension_name,dimension_sort_order,grade_id,grade_name,grade_sort_order,indication_id,indicator_name,indication_sort_order,behavioral_marker_id,behavioral_marker_name,behavioral_marker_sort_order,observation_reconciliation,last_updated_at,last_updated_by
12345,Sample School,3,Educator Sensitivity/Teacher Sensitivity,3,3,Secondary,3,11,Problem Resolution (K-3) Effectiveness in addressing problems (UE),3,114,Student issues/questions resolved,1,"In the majority of classrooms observed, teachers were consistently effective at addressing students’ questions, concerns, and problems, as evidenced by resolution. For example, in most classrooms observed, teachers were frequently successful at addressing and solving student issues, such as providing students with learning materials, supplies, and instructional support. ",,
12345,Sample School,3,Educator Sensitivity/Teacher Sensitivity,3,3,Secondary,3,9,Awareness,1,91,Checks in with Students,1,"In the majority of classrooms observed, teachers consistently monitored students for cues and noticed when students needed extra support or assistance. For example, in most classrooms observed, teachers walked around the room to check in with small groups or individual students and responded quickly when hands were raised. ",,
12345,Sample School,4,Regard for Student (Child) Perspective,4,3,Secondary,3,14,Support for autonomy and leadership,2,141,Allows Choices,1,"In most classrooms observed, students had choices within lessons and were rarely given opportunities for leadership or responsibility. However, these opportunities were mostly controlled by teachers. For example, in most classrooms observed, activities and instruction were mostly teacher-driven, with some opportunities for students to assert autonomy, such as the choice of working independently or with partners on an assignment. ",,
12345,Sample School,4,Regard for Student (Child) Perspective,4,3,Secondary,3,15,Child expression (K-3) Connections to current life (UE),3,151,Communicates Usefulness,2,"In many classrooms observed, materials were occasionally connected to students’ current experiences and were presented in a way that sometimes made salient how or why the materials were of value to students. For example, in some classrooms observed, teachers explained how lessons and content were related to life outside of the classroom, such as tying lessons to current events.",,
12345,Sample School,5,Behavior Management,5,3,Secondary,3,18,Proactive,2,177,Anticipation of Problem Behaviors,2,"In the majority of classrooms observed, teachers were consistently proactive and monitored effectively to prevent problem behaviors from developing. For example, in most classrooms observed, teachers regularly anticipated and prevented misbehaviors during transitions and group work by reminding students to focus on the learning targets. ",,
12345,Sample School,5,Behavior Management,5,3,Secondary,3,17,Behavior Expectations (K-3) Clear Expectations (UE),1,165,Students know what to do,3,"In the majority of classrooms observed, rules and behavioral expectations were clearly stated or understood by everyone in the class. For example, in most classrooms observed, students frequently knew what kinds of behaviors were expected and accepted in the classroom, which lead to most students being on task for the majority of lessons. Students complied with school phone policies and cell phone use was not observed in any classrooms.",,
12345,Sample School,6,Productivity,6,3,Secondary,3,24,Preparation,4,238,Materials ready and accessible,1,"In the majority of classrooms observed, teachers were fully prepared for activities and/or lessons. For example, in most classrooms observed, teachers were prepared for the lesson at the beginning of class. Many teachers had slides listing the day's objectives and activities for student direction. ",,
12345,Sample School,6,Productivity,6,3,Secondary,3,21,Opportunities for learning (K-3) Maximizing learning time (UE/Secondary),1,213,Choice when finished,3,"In the majority of classrooms observed, teachers consistently provided tasks for students, effectively completed managerial tasks, and minimized disruptions so that time for learning was maximized. For example, in most classrooms observed, students were given additional tasks when they completed an assignment, resulting in little downtime. Often students were allowed to work on outstanding assignments when finished with a task to be eligible for active study hall on Friday.",,
12345,Sample School,11,Analysis and Inquiry (UE),11,3,Secondary,3,46,Metacognition (UE),3,418,Students explain their own cognitive processes,1,"In many classrooms observed, students had occasional opportunities to think about their own learning through explanations, self-evaluations, reflection, and planning. However, these opportunities were typically brief and limited in depth. For example, in most classrooms observed, teachers sometimes asked students to describe their thought process when they provided an answer or to show their work. ",,
12345,Sample School,11,Analysis and Inquiry (UE),11,3,Secondary,3,45,Opportunities for novel application (UE),2,410,Open-ended Tasks,1,"In many classrooms observed, teachers provided opportunities for students to apply knowledge and skills within familiar contexts and with teachers’ guidance available, but they did not provide opportunities for analysis and problem solving within novel contexts and/or without teachers’ support. For example, in most classrooms observed, students were rarely asked to complete open-ended tasks and instead were mostly asked to provide rote responses. ",,
12345,Sample School,12,Student Engagement (UE),12,3,Secondary,3,47,Active Engagement,1,434,Sharing Ideas,4,"In many classrooms observed, there was a mix of student engagement, with some students actively engaged and some passively engaged in listening to or watching the teacher. For example, in most classrooms observed, some students shared their ideas, but often teachers had to call on students to respond.",,
12345,Sample School,12,Student Engagement (UE),12,3,Secondary,3,47,Active Engagement,1,431,Responding,1,"In classrooms where teachers provided a variety of learning modalities and materials, such as having students work through different stations related to the the lesson, and made connections to students' lives, students were more engaged.",,
