Indicator Number,Standard Name,Indicator Name,Category,Content
1C,Leadership and Vision,Culture of Continuous Improvement,Summary,"SUMMARY: The focus group highlights several key findings related to the culture of continuous improvement in the school. School leaders have a structured plan for monitoring improvement using data, aligning their goals with district expectations, and communicating progress to staff. They use data to monitor key initiatives and involve the school improvement team in problem-solving. There is agreement on the importance of aligning goals with district standards, using data for monitoring, and the need for better data disaggregation to address diverse student needs."
1C,Leadership and Vision,Culture of Continuous Improvement,Finding,1. FINDING: The school leaders have a structured plan for monitoring improvement using data. They use end-of-year progress to develop the school improvement plan and set goals based on previous achievements in academics and attendance.
1C,Leadership and Vision,Culture of Continuous Improvement,Finding,"2. FINDING: School leaders prioritize initiatives by aligning them with district goals and expectations. They adjust their goals to ensure consistency with district objectives, such as ensuring that 50% of students make adequate progress with their projected map goals."
1C,Leadership and Vision,Culture of Continuous Improvement,Finding,3. FINDING: Communication with staff about progress and challenges is part of the improvement efforts. The school leaders present the school improvement goals to the staff and engage them in the process.
1C,Leadership and Vision,Culture of Continuous Improvement,Finding,"4. FINDING: The school uses data to monitor the effectiveness of key initiatives, such as attendance and academic performance. They have regular meetings to review data and set individual goals for students."
1C,Leadership and Vision,Culture of Continuous Improvement,Finding,"5. FINDING: There is an effort to involve the broader school community in improvement efforts, although it could be more comprehensive. The school improvement team acts as a problem-solving group and provides input for meetings with the student engagement advocate."
1C,Leadership and Vision,Culture of Continuous Improvement,Quote,"1. QUOTE: ""Yeah, so we developed the school improvement plan based upon the end of the year progress that was made, and so that's to begin with, and so the goals were established based upon then at that time how closely we had met those previous goals in academics and in our attendance."""
1C,Leadership and Vision,Culture of Continuous Improvement,Quote,"2. QUOTE: ""And so we adjusted, we knew that going in that our expectation was that at least 50% of our students needed to make adequate progress with their projected map goals."""
1C,Leadership and Vision,Culture of Continuous Improvement,Quote,"3. QUOTE: ""And so presented to the staff. And so throughout the school year, we've been doing things that are really tied to each of those, whether it be looking at data for map for our building."""
1C,Leadership and Vision,Culture of Continuous Improvement,Quote,"4. QUOTE: ""And so, and then attendance, I have a weekly or I wanna say biweekly, I should say meetings with, we have a position that's called the SEAA. So that is a student engagement advocate for attendance."""
1C,Leadership and Vision,Culture of Continuous Improvement,Quote,"5. QUOTE: ""But then also our school improvement team looks at that separately, right? And just if they have any other input that they would like me to bring to my meeting with him, I also bring that as well."""
1C,Leadership and Vision,Culture of Continuous Improvement,Agreement,"1. AGREEMENT: There is a consensus on the importance of aligning school goals with district expectations, as evidenced by the adjustment of goals to meet district standards."
1C,Leadership and Vision,Culture of Continuous Improvement,Agreement,"2. AGREEMENT: Both the interviewer and interviewee agree on the significance of using data to monitor and adjust school initiatives, as reflected in the regular review of academic and attendance data."
1C,Leadership and Vision,Culture of Continuous Improvement,Agreement,"3. AGREEMENT: The interviewee acknowledges the need for better data disaggregation to address different student populations, indicating a shared understanding of the importance of comprehensive data analysis."
1C,Leadership and Vision,Culture of Continuous Improvement,Disagreement,No Disagreements were identified for this indicator.
